"acceptability"	"important"	"direct"	"expensive"	"previoustrolley"	"gender"	"age"	"topiccomp"	"expensivecomp"	"importancecomp"	"failed"
"268"	6	2	1	1	2	1	26	4	1	1	NA
"269"	9	2	1	1	2	1	28	4	1	1	NA
"270"	7	2	1	1	1	1	30	4	1	1	NA
"271"	8	2	1	1	2	1	22	4	1	1	NA
"272"	5	2	1	1	1	1	33	4	1	1	NA
"273"	9	2	1	1	2	2	49	4	2	2	1
"274"	5	2	1	1	1	1	37	4	1	1	NA
"275"	9	2	1	1	2	1	26	4	1	1	NA
"276"	7	2	1	1	2	2	31	4	1	1	1
"277"	9	2	1	1	1	1	27	4	1	1	NA
"278"	6	2	1	1	2	2	30	4	1	1	NA
"279"	9	2	1	1	1	1	25	4	1	1	NA
"280"	3	2	1	1	1	2	48	4	1	1	1
"281"	7	2	1	1	2	2	27	4	1	1	NA
"282"	7	2	1	1	1	2	21	4	1	1	NA
"283"	9	2	1	1	2	2	26	4	1	1	NA
"284"	6	2	1	1	2	1	23	4	1	1	NA
"285"	9	2	1	1	2	1	39	4	1	1	NA
"286"	6	2	1	1	2	2	24	4	1	1	NA
"287"	3	2	1	1	1	2	27	4	1	1	1
"288"	9	2	1	1	2	1	34	4	1	1	NA
"289"	7	2	1	1	2	1	29	4	1	1	NA
"290"	7	2	1	1	2	2	54	4	1	1	NA
"291"	5	2	1	1	2	2	36	4	1	1	NA
"292"	9	2	1	1	1	2	28	4	1	1	NA
"293"	3	2	1	1	2	2	42	4	1	1	NA
"294"	7	2	1	1	2	1	28	4	1	1	NA
"295"	5	2	1	1	2	1	27	4	1	1	NA
"296"	7	2	1	1	2	2	62	4	1	1	NA
"297"	9	2	1	1	2	1	26	4	1	1	NA
"298"	7	2	1	1	2	2	49	4	2	2	1
"299"	7	2	1	1	1	2	26	4	1	1	NA
"300"	7	2	1	1	2	2	24	4	1	1	NA
"301"	6	2	1	1	2	1	22	4	1	1	NA
"302"	8	2	1	2	1	2	35	4	2	2	NA
"303"	9	2	1	2	2	1	38	4	2	2	NA
"304"	7	2	1	2	2	2	31	4	2	2	NA
"305"	9	2	1	2	1	2	73	4	2	2	NA
"306"	9	2	1	2	2	1	28	4	2	2	NA
"307"	9	2	1	2	2	1	36	4	2	2	NA
"308"	7	2	1	2	2	1	47	4	2	2	NA
"309"	3	2	1	2	2	1	28	4	2	2	NA
"310"	7	2	1	2	1	2	52	4	2	2	1
"311"	7	2	1	2	2	1	19	4	2	2	NA
"312"	8	2	1	2	1	1	30	4	2	2	NA
"313"	7	2	1	2	1	2	67	4	2	2	NA
"314"	7	2	1	2	2	1	24	4	2	2	NA
"315"	4	2	1	2	2	1	22	4	2	2	NA
"316"	7	2	1	2	1	2	33	4	2	2	1
"317"	7	2	1	2	1	2	28	4	2	2	NA
"318"	9	2	1	2	2	1	20	4	2	2	NA
"319"	5	2	1	2	2	2	38	4	2	2	NA
"320"	7	2	1	2	2	1	28	4	2	2	1
"321"	3	2	1	2	1	1	33	4	2	2	NA
"322"	8	2	1	2	2	1	30	4	2	2	NA
"323"	9	2	1	2	1	1	20	4	2	2	NA
"324"	7	2	1	2	1	2	28	4	2	2	NA
"325"	9	2	1	2	1	2	25	4	2	2	NA
